winner_name,wins,aces,double_faults,service_points,1st_serves_made,1st_serve_points_won,2nd_serve_points_won,service_games_won,break_points_saved,break_points_faced,height
Arthur Rinderknech,33,11.090909090909092,2.0303030303030303,80.93939393939394,53.45454545454545,41.72727272727273,14.545454545454545,12.757575757575758,3.3333333333333335,4.333333333333333,196.0
Aslan Karatsev,32,5.4375,4.15625,83.875,50.4375,38.34375,18.25,12.90625,4.375,5.875,185.0
Ben Shelton,20,12.0,4.25,88.05,56.7,45.0,18.15,15.05,3.05,4.55,
Benjamin Bonzi,36,7.888888888888889,2.2222222222222223,73.80555555555556,45.75,36.25,15.88888888888889,12.25,2.861111111111111,3.888888888888889,185.0
Benjamin Hassan,2,,,,,,,,,,183.0
Benoit Paire,4,15.75,8.5,115.5,60.25,49.75,28.75,19.0,3.75,6.25,196.0
Bernabe Zapata Miralles,27,2.1481481481481484,1.5925925925925926,78.18518518518519,53.370370370370374,36.0,13.37037037037037,12.148148148148149,4.333333333333333,6.777777777777778,185.0
Blaise Bicknell,3,1.0,4.0,63.0,38.0,31.0,11.0,11.0,3.0,5.0,188.0
Bor Artnak,1,,,,,,,,,,
Borna Coric,42,7.194444444444445,1.8888888888888888,79.16666666666667,47.77777777777778,37.888888888888886,17.63888888888889,12.75,3.5,4.722222222222222,188.0
Borna Gojo,11,12.11111111111111,2.7777777777777777,92.22222222222223,61.666666666666664,48.666666666666664,16.0,15.11111111111111,2.2222222222222223,3.7777777777777777,196.0
Botic Van De Zandschulp,53,6.56,3.74,80.0,51.2,38.0,14.76,12.48,4.16,6.1,188.0
Brandon Holt,2,7.0,2.5,150.0,95.5,63.0,30.5,22.0,7.5,11.5,
Brandon Nakashima,46,8.478260869565217,1.2826086956521738,77.0,50.69565217391305,39.391304347826086,14.91304347826087,12.41304347826087,2.717391304347826,4.0,185.0
Cameron Norrie,83,5.1125,1.95,79.85,52.775,38.7625,14.9875,12.8375,3.9375,5.6875,188.0
Camilo Ugo Carabelli,2,3.5,1.5,119.0,81.5,49.5,18.5,18.0,2.5,8.5,
Carlos Alcaraz,115,3.912280701754386,2.254385964912281,76.8859649122807,50.43859649122807,37.01754385964912,15.18421052631579,12.508771929824562,3.1315789473684212,4.640350877192983,185.0
Carlos Taberner,5,2.2,2.2,55.0,37.6,27.6,9.0,8.0,2.8,3.4,183.0
Casper Ruud,81,5.531645569620253,2.151898734177215,80.48101265822785,52.20253164556962,39.55696202531646,16.329113924050635,13.227848101265822,3.278481012658228,4.6835443037974684,183.0
Cedrik Marcel Stebe,1,15.0,3.0,107.0,59.0,47.0,20.0,15.0,5.0,8.0,183.0
Cem Ilkel,2,8.0,1.0,84.0,54.0,40.0,17.0,12.0,2.0,4.0,185.0
